Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
1,1,1,-6120.912706345833,1090.77,1090.77
1,1,1,-6120.912706345833,474.76800000000003,474.76800000000003
1,1,1,-6120.912706345833,381.41200000000003,381.41200000000003
1,1,1,-6120.912706345833,246.31199999999998,246.31199999999998
1,1,1,-6120.912706345833,55.84,55.84
1,1,1,-6120.912706345833,173.505,173.505
1,1,1,-5768.330706345832,352.582,352.582
1,1,1,-5303.096628064709,659.285,659.285
2,1,1,-4829.853167302908,1297.1699999999998,1297.1699999999998
2,1,1,-6288.820644078946,0.0,2351.552
2,1,1,-5600.856399180988,3341.764244897959,3341.764244897959
2,1,1,-7742.7014269774345,0.0,4551.408367346939
2,1,1,-10396.501426977435,0.0,5886.252734693878
2,1,1,-12260.640982302462,0.0,6219.080816326531
2,1,1,-14010.486010098908,0.0,5728.124653061224
2,1,1,-14010.486010098908,0.0,5463.213306122449
3,1,1,-16664.28601009891,0.0,5943.942530612245
3,1,1,-19318.08601009891,0.0,5861.009999999999
3,1,1,-13747.48601009891,8224.4,8224.4
3,1,1,-8448.98601009891,7952.300000000001,7952.300000000001
3,1,1,-11102.78601009891,0.0,6144.496
3,1,1,-12087.480239180992,0.0,4141.294
3,1,1,-12087.480239180992,0.0,2768.4
3,1,1,-12087.480239180992,1636.992,1636.992
4,1,1,-11640.322239180992,447.158,447.158
4,1,1,-11640.322239180992,304.964,304.964
4,1,1,-11640.322239180992,154.56,154.56
4,1,1,-11640.322239180992,177.497,177.497
4,1,1,-11538.394183336763,140.452,140.452
4,1,1,-11324.375105055638,564.799,564.799
4,1,1,-11003.106559180993,1541.1200000000001,1541.1200000000001
4,1,1,-13656.906559180992,0.0,2906.085
5,1,1,-12771.681480899868,3318.069,3318.069
5,1,1,-15306.648957675905,0.0,3210.528
5,1,1,-12939.222245904297,3832.050489795918,3832.050489795918
5,1,1,-14615.932190311405,977.0900555928924,4793.115244897958
5,1,1,-17269.732190311406,0.0,5554.80918367347
5,1,1,-14122.875455617528,5800.656734693878,5800.656734693878
5,1,1,-16776.67545561753,0.0,6401.243020408163
5,1,1,-15679.56351013896,3750.911945478569,8429.547183673469
6,1,1,-18333.36351013896,0.0,11115.978448979593
6,1,1,-13194.22855658688,5139.1349535520785,13811.191
6,1,1,-14214.28029781501,0.0,10093.408
6,1,1,-11944.15429781501,4923.9259999999995,4923.9259999999995
6,1,1,-11101.38429781501,3496.57,3496.57
6,1,1,-9808.962719533885,2191.2000000000003,2191.2000000000003
6,1,1,-8661.826719533885,1147.136,1147.136
6,1,1,-8661.826719533885,746.286,746.286
7,1,1,-8661.826719533885,506.64,506.64
7,1,1,-8661.826719533885,323.35,323.35
7,1,1,-8661.826719533885,164.25,164.25
7,1,1,-8661.826719533885,188.615,188.615
7,1,1,-8661.826719533885,138.492,138.492
7,1,1,-8661.826719533885,555.9839999999999,555.9839999999999
7,1,1,-8661.826719533885,1498.547,1498.547
7,1,1,-11315.626719533884,0.0,2867.976
8,1,1,-10740.106719533884,3229.3199999999997,3229.3199999999997
8,1,1,-10214.022719533885,3179.884,3179.884
8,1,1,-12867.822719533884,0.0,3756.9511836734696
8,1,1,-10864.182760350212,4657.439959183673,4657.439959183673
8,1,1,-13517.982760350213,0.0,5356.936653061225
8,1,1,-8365.675951411966,5566.101224489797,5566.101224489797
8,1,1,-5200.421196309925,5819.054755102041,5819.054755102041
