Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
6,1,1,-14491.093401420918,0.0,746.383302975
7,1,1,-14491.093401420918,0.0,506.70605736000005
7,1,1,-14491.093401420918,323.392159475,323.392159475
7,1,1,-14655.364816845919,0.0,164.271415425
7,1,1,-14466.72522464592,188.6395922,188.6395922
7,1,1,-14466.72522464592,138.51005706,138.51005706
7,1,1,-15022.78171574592,0.0,556.0564911
7,1,1,-16521.52410108092,0.0,1498.7423853349999
7,1,1,-15027.284782927494,2868.349935795,2868.349935795
8,1,1,-17681.084782927494,0.0,3229.74104886
8,1,1,-17154.586178937494,3180.29860399,3180.29860399
8,1,1,-16053.904721577494,3754.48145736,3754.48145736
8,1,1,-14053.305945407494,4654.39877617,4654.39877617
8,1,1,-16267.560637157632,0.0,5353.501915440001
8,1,1,-10705.04547336763,5562.515163790001,5562.515163790001
8,1,1,-4890.24541959763,5814.80005377,5814.80005377
8,1,1,-7544.04541959763,0.0,7623.62186294
9,1,1,-7995.000620657355,2202.844798940275,9860.12242836
9,1,1,-8970.232605808837,1507.8873528791037,12457.21900015
9,1,1,-11624.032605808838,0.0,9952.077416285
9,1,1,-13643.350521347915,0.0,4951.164464925
9,1,1,-15209.74468942666,0.0,3533.69067346
9,1,1,-15378.321329965736,0.0,2135.1383497499996
9,1,1,-14220.812429885736,1157.50890008,1157.50890008
9,1,1,-15008.867165485737,0.0,788.0547356000001
10,1,1,-15008.867165485737,0.0,466.38680109000006
10,1,1,-15008.867165485737,307.715115625,307.715115625
10,1,1,-15008.867165485737,147.79926804000002,147.79926804000002
10,1,1,-15008.867165485737,176.10095762,176.10095762
10,1,1,-15008.867165485737,131.07708805000001,131.07708805000001
10,1,1,-15008.867165485737,534.9417383399999,534.9417383399999
10,1,1,-15008.867165485737,1427.9431556399998,1427.9431556399998
10,1,1,-12398.65986263645,2773.1035190599996,2773.1035190599996
11,1,1,-15052.45986263645,0.0,3067.6459176999997
11,1,1,-13743.731729505529,2946.70215078,2946.70215078
11,1,1,-16397.53172950553,0.0,3409.3564647999997
11,1,1,-13289.613389023167,4245.899521635,4245.899521635
11,1,1,-10001.309051507775,4804.6843691799995,4804.6843691799995
11,1,1,-7703.763563307775,4951.3454882,4951.3454882
11,1,1,-3624.2155722929147,5011.81937199,5011.81937199
11,1,1,-6278.015572292915,0.0,6106.399068525
12,1,1,-6278.015572292915,0.0,8415.78913386
12,1,1,-937.0372683526384,5340.978303940276,10550.919482539999
12,1,1,-2560.458685843425,1030.3785825092136,8583.84104268
12,1,1,-5214.258685843425,0.0,4347.6437863950005
12,1,1,-5214.258685843425,0.0,3122.93912616
12,1,1,-7102.124800063425,0.0,1887.86611422
12,1,1,-7102.124800063425,1082.1650779000001,1082.1650779000001
12,1,1,-7102.124800063425,0.0,718.90572108
13,1,1,-7102.124800063425,0.0,464.16051087000005
13,1,1,-7102.124800063425,312.465735,312.465735
13,1,1,-7102.124800063425,147.88327896,147.88327896
13,1,1,-7102.124800063425,175.84892478999998,175.84892478999998
13,1,1,-7102.124800063425,130.81705415000002,130.81705415000002
13,1,1,-7102.124800063425,530.760193145,530.760193145
13,1,1,-7102.124800063425,1398.3703002199998,1398.3703002199998
13,1,1,-7040.774836543425,2715.14996352,2715.14996352
14,1,1,-8724.043942362503,0.0,3035.40571444
14,1,1,-7111.81324229158,2946.3441037400003,2946.3441037400003
14,1,1,-9765.61324229158,0.0,3449.42768931
14,1,1,-11302.893733351302,1116.519508940276,4302.78493744
14,1,1,-8048.130096788154,4895.44620081,4895.44620081
14,1,1,-5629.268793578154,5072.66130321,5072.66130321
14,1,1,-413.4388260781543,5215.8299675,5215.8299675
14,1,1,2653.8,3067.2388260781545,6470.48253286
15,1,1,0.0,0.0,8753.981225175
15,1,1,-1561.466362323546,0.0,10631.39197647
15,1,1,-4215.266362323546,0.0,8270.022132159998
15,1,1,-6346.440608383269,522.6257539402768,4146.76859886
15,1,1,-9000.240608383268,0.0,2954.023104645
15,1,1,-9000.240608383268,0.0,1760.95356885
15,1,1,-9000.240608383268,0.0,966.7320290499999
15,1,1,-8326.52277818327,673.7178302,673.7178302
16,1,1,-8326.52277818327,461.04010402499995,461.04010402499995
16,1,1,-8326.52277818327,308.46121299,308.46121299
16,1,1,-8179.629628273269,146.89314991,146.89314991
16,1,1,-8179.629628273269,172.17744614999998,172.17744614999998
16,1,1,-8179.629628273269,130.245979655,130.245979655
16,1,1,-8179.629628273269,515.9072568,515.9072568
16,1,1,-8179.629628273269,1398.67734015,1398.67734015
16,1,1,-7887.914624417015,2717.75430325,2717.75430325
17,1,1,-9887.073229240561,0.0,3074.600824
17,1,1,-12540.873229240562,0.0,3007.8141172200003
17,1,1,-9302.448030151609,3583.401154275,3583.401154275
17,1,1,-11956.248030151608,0.0,4486.62590397
17,1,1,-9422.266718851608,5187.7813113,5187.7813113
17,1,1,-7488.640684911333,4587.426033940276,5423.391027170001
17,1,1,-9180.07096740212,962.3697175092138,5617.5123341
17,1,1,-11833.87096740212,0.0,6990.616340675
18,1,1,-8273.438149892907,3560.4328175092132,9410.428801455
18,1,1,-3181.9354288147524,5091.5027210781545,11119.34758761
18,1,1,-5835.735428814753,0.0,8293.687216645
18,1,1,-8489.535428814754,0.0,4062.25458111
18,1,1,-11143.335428814753,0.0,2867.1107739
18,1,1,-11143.335428814753,0.0,1743.7523263649998
18,1,1,-11143.335428814753,0.0,965.1838271549999
18,1,1,-10438.539547024753,704.79588179,704.79588179
19,1,1,-11594.977307224754,0.0,1156.4377602000002
19,1,1,-11594.977307224754,523.7782830900001,523.7782830900001
19,1,1,-11179.339122019754,415.63818520499996,415.63818520499996
19,1,1,-11303.839680774361,0.0,268.52300628
19,1,1,-11303.839680774361,68.03686970999999,68.03686970999999
19,1,1,-11303.839680774361,199.35098866500002,199.35098866500002
19,1,1,-11303.839680774361,382.52786877,382.52786877
19,1,1,-12033.458798454361,0.0,729.61911768
20,1,1,-10539.743068379361,1493.715730075,1493.715730075
20,1,1,-13193.54306837936,0.0,2727.6255903
20,1,1,-15396.03879431187,451.30427406748913,3841.4207920400004
20,1,1,-14851.306757081595,544.7320372302756,5143.29151171
20,1,1,-13908.809933141318,3596.296823940277,6508.33646736
20,1,1,-9842.983919941318,6719.6260132,6719.6260132
20,1,1,-12496.783919941317,0.0,6110.10455154
20,1,1,-6927.0318111913175,5569.75210875,5569.75210875
21,1,1,-9580.831811191318,0.0,6273.279823580001
21,1,1,-10091.382699945925,0.0,5860.67403495
21,1,1,-12745.182699945926,0.0,8299.689998329999
21,1,1,-13664.928651005652,1734.0540489402747,8007.804946609999
21,1,1,-13664.928651005652,0.0,6454.15340472
21,1,1,-15856.44719547579,0.0,4597.34933925
21,1,1,-17736.788048774535,0.0,3084.21007752
21,1,1,-17736.788048774535,0.0,1803.8251575499999
22,1,1,-3359.7687620592123,969.12634145,969.12634145
22,1,1,-3359.7687620592123,0.0,415.16612359
22,1,1,-3017.4661372942123,342.302624765,342.302624765
22,1,1,-3017.4661372942123,224.57127653,224.57127653
22,1,1,-3017.4661372942123,59.5077578,59.5077578
22,1,1,-3017.4661372942123,159.60880760499998,159.60880760499998
22,1,1,-3017.4661372942123,312.840783875,312.840783875
22,1,1,-3609.4313095342122,0.0,591.96517224
23,1,1,-3609.4313095342122,1223.284475075,1223.284475075
23,1,1,-5884.129853834213,0.0,2274.6985443
23,1,1,-6610.052136873289,0.0,3233.1094883200003
23,1,1,-3692.659835543426,4418.4960222,4418.4960222
23,1,1,-6346.459835543426,0.0,5559.58678154
23,1,1,-6346.459835543426,0.0,5734.221549015
23,1,1,-6906.087456082503,0.0,4544.012385524999
23,1,1,-2158.388516852503,4747.69893923,4747.69893923
24,1,1,-4812.188516852503,0.0,5394.388245149999
24,1,1,-1481.5533828215794,5090.5146313800005,5090.5146313800005
24,1,1,-1575.9173203123664,2559.436062509213,6071.9415762
24,1,1,-2931.6487258514426,0.0,6797.5661727100005
24,1,1,-4304.882413890518,0.0,5973.9037957499995
24,1,1,-6848.840104950243,109.84230894027542,4705.372422089999
24,1,1,-8041.363596920381,0.0,2701.35216452
24,1,1,-9118.600126420382,0.0,1633.84499861
25,1,1,-9118.600126420382,367.81795114000005,367.81795114000005
25,1,1,-9118.600126420382,0.0,252.832960875
25,1,1,-9118.600126420382,0.0,130.3129884
25,1,1,-9273.712347810382,0.0,155.11222139
25,1,1,-9273.712347810382,114.80496670000001,114.80496670000001
25,1,1,-9273.712347810382,477.49424912999996,477.49424912999996
25,1,1,-7999.866281160383,1273.84606665,1273.84606665
25,1,1,-10581.750871400382,0.0,2581.88459024
26,1,1,-12401.886138723927,0.0,2942.9316592200003
26,1,1,-15055.686138723926,0.0,2866.7417260800003
26,1,1,-12702.045967448,3405.0359012100002,3405.0359012100002
26,1,1,-13967.57216787353,0.0,4355.29578306
26,1,1,-11634.372031223531,4987.00013665,4987.00013665
26,1,1,-7696.628238618259,5113.4706234,5113.4706234
26,1,1,-10350.42823861826,0.0,4754.00976295
26,1,1,-6411.34274788826,6592.88549073,6592.88549073
27,1,1,-9065.142747888262,0.0,9102.10460638
27,1,1,-4201.39935181011,4863.743396078152,10564.92530921
27,1,1,-6855.19935181011,0.0,6975.3413481200005
27,1,1,-7965.398749849186,0.0,3795.92986185
27,1,1,-8934.579762888263,0.0,2965.67062344
27,1,1,-10752.945816808264,0.0,1818.3660539200002
27,1,1,-10752.945816808264,0.0,973.30288557
27,1,1,-10143.698391448264,609.24742536,609.24742536
28,1,1,-10143.698391448264,0.0,396.52569365
28,1,1,-10424.855044848264,0.0,281.1566534
28,1,1,-10574.646572608264,0.0,149.79152776
28,1,1,-10574.646572608264,0.0,173.7506512
28,1,1,-10574.646572608264,134.83757826000002,134.83757826000002
28,1,1,-10574.646572608264,500.96230849,500.96230849
28,1,1,-9217.169603228263,1357.4769693800001,1357.4769693800001
28,1,1,-10376.648406267339,0.0,2708.9361534
29,1,1,-12908.033076806416,0.0,3067.9459562099996
29,1,1,-12582.613687511417,2979.219389295,2979.219389295
29,1,1,-15236.413687511416,0.0,3599.7392839500003
29,1,1,-17837.870018695357,0.0,4618.070040389999
