ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
59,CA_S_landbasedwind_class3_moderate_4,2,0.0,0.0,0.0,0.0,0.0,0.0
60,CA_S_landbasedwind_class3_moderate_5,2,0.0,0.0,0.0,0.0,0.0,0.0
61,CA_S_landbasedwind_class3_moderate_6,2,0.0,0.0,0.0,0.0,0.0,0.0
62,CA_S_utilitypv_class1_moderate_1,2,24896.25054759469,0.0,24896.25054759469,34.48329669463793,186376.9317027241,57.53586453116788
63,CA_S_utilitypv_class1_moderate_2,2,0.0,0.0,0.0,0.0,0.0,0.0
64,CA_S_utilitypv_class1_moderate_3,2,0.0,0.0,0.0,0.0,0.0,0.0
65,CA_S_utilitypv_class1_moderate_4,2,0.0,0.0,0.0,0.0,0.0,0.0
66,CA_S_utilitypv_class1_moderate_5,2,0.0,0.0,0.0,0.0,0.0,0.0
67,CA_S_utilitypv_class1_moderate_6,2,0.0,0.0,0.0,0.0,0.0,0.0
68,CA_S_offshorewind_class12_moderate_floating_1_0,2,0.0,0.0,0.0,0.0,0.0,0.0
69,CA_S_offshorewind_class12_moderate_floating_1_1,2,0.0,0.0,0.0,0.0,0.0,0.0
70,CA_S_offshorewind_class12_moderate_floating_1_4,2,0.0,0.0,0.0,0.0,0.0,0.0
71,CA_S_offshorewind_class12_moderate_floating_1_5,2,0.0,0.0,0.0,0.0,0.0,0.0
72,CA_S_offshorewind_class12_moderate_floating_0_0,2,0.0,0.0,0.0,0.0,0.0,0.0
73,CA_S_offshorewind_class12_moderate_floating_0_1,2,0.0,0.0,0.0,0.0,0.0,0.0
74,CA_S_offshorewind_class12_moderate_floating_0_4,2,0.0,0.0,0.0,0.0,0.0,0.0
75,CA_S_offshorewind_class12_moderate_floating_0_5,2,0.0,0.0,0.0,0.0,0.0,0.0
