Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,400,0,0,0
1,2,400,0,0,0
2,1,400,0,0,0
2,2,400,0,0,0
3,1,400,323.8397143,2078.00681,0.000320599
3,2,400,504.8237143,1514.471143,0.000233656
4,1,400,42.378,534.6883571,8.25E-05
4,2,400,66.099,760.9023811,0.000117394
,,,,,
,,,,4888.068691,
