Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
1,1,1,-8178.014128,1092.302738,1092.302738
1,1,1,-8592.674242,0,475.393
1,1,1,-8592.674242,381.9179524,381.9179524
1,1,1,-8592.674242,246.639381,246.639381
1,1,1,-8592.674242,55.91440476,55.91440476
1,1,1,-8592.674242,173.505,173.505
1,1,1,-8592.674242,352.582,352.582
1,1,1,-8592.674242,659.285,659.285
2,1,1,-9889.844242,0,1297.17
2,1,1,-7842.760695,2351.552,2351.552
2,1,1,-9668.505148,0,3338.652
2,1,1,-12322.30515,0,4547.365
2,1,1,-7652.432788,5881.291,5881.291
2,1,1,-4092.317788,6213.915,6213.915
2,1,1,-4092.317788,0,5722.742
2,1,1,-5865.810067,0,5457.448
3,1,1,-2174.370387,5937.616,5937.616
3,1,1,-4828.170387,0,5861.01
3,1,1,-7481.970387,0,8224.4
3,1,1,-9541.21484,0,7952.3
3,1,1,-12195.01484,0,6144.496
3,1,1,-9263.957987,4141.294,4141.294
3,1,1,-8741.734307,2768.4,2768.4
3,1,1,-10276.84249,0,1639.849143
4,1,1,-10189.33707,447.8574048,447.8574048
4,1,1,-10189.33707,305.3955476,305.3955476
4,1,1,-10189.33707,154.7832143,154.7832143
4,1,1,-10367.08705,0,177.7499762
4,1,1,-10507.7325,0,140.6454524
4,1,1,-11072.5315,0,564.799
4,1,1,-11072.5315,1541.12,1541.12
4,1,1,-10437.79782,2906.085,2906.085
5,1,1,-9773.528816,3318.069,3318.069
5,1,1,-12427.32882,0,3210.528
5,1,1,-9546.646768,3828.951,3828.951
5,1,1,-12200.44677,0,4789.378
5,1,1,-10364.36656,4489.880211,5550.6
5,1,1,-13018.16656,0,5796.32
5,1,1,-9275.774558,6396.192,6396.192
5,1,1,-11255.68565,673.8889055,8422.838
6,1,1,-12817.59675,1091.888906,11107.356
6,1,1,-9934.516536,5536.880211,13811.191
6,1,1,-9934.516536,0,10093.408
6,1,1,-12588.31654,0,4923.926
6,1,1,-11745.54654,3496.57,3496.57
6,1,1,-13936.74654,0,2191.2
6,1,1,-13025.18854,1147.136,1147.136
6,1,1,-13772.76918,0,747.5806429
7,1,1,-13772.76918,507.3542857,507.3542857
7,1,1,-13772.76918,323.7815476,323.7815476
7,1,1,-13772.76918,164.4732143,164.4732143
7,1,1,-13772.76918,188.8679762,188.8679762
7,1,1,-13772.76918,138.6705714,138.6705714
7,1,1,-13216.78518,555.984,555.984
7,1,1,-13216.78518,1498.547,1498.547
7,1,1,-10595.95363,2867.976,2867.976
8,1,1,-13249.75363,0,3229.32
8,1,1,-15352.75026,0,3179.884
8,1,1,-12796.50671,3753.992,3753.992
8,1,1,-10440.55882,4653.792,4653.792
8,1,1,-11008.90127,0,5352.804
8,1,1,-12546.81237,1115.888906,5561.79
8,1,1,-15200.61237,0,5814.042
8,1,1,-17854.41237,0,7622.628
9,1,1,-10153.50225,9858.837,9858.837
9,1,1,-10153.50225,0,12455.595
9,1,1,-2856.522245,9950.78,9950.78
9,1,1,-5510.322245,0,4950.519
9,1,1,-4630.892245,3533.23,3533.23
9,1,1,-4630.892245,2134.86,2134.86
9,1,1,-4630.892245,0,1157.358
9,1,1,-4630.892245,789.2615238,789.2615238
10,1,1,-4766.839771,0,466.951
10,1,1,-4766.839771,308.0470238,308.0470238
10,1,1,-4766.839771,147.9585714,147.9585714
10,1,1,-4766.839771,176.2863333,176.2863333
10,1,1,-4766.839771,131.2088095,131.2088095
10,1,1,-4766.839771,534.872,534.872
10,1,1,-4766.839771,1427.757,1427.757
10,1,1,-4647.897771,2772.742,2772.742
11,1,1,-2842.302307,3067.246,3067.246
11,1,1,-2549.784307,2946.318,2946.318
11,1,1,-1794.672307,3408.912,3408.912
11,1,1,-4448.472307,0,4245.346
11,1,1,-1791.625413,4804.058,4804.058
11,1,1,505.2745873,4950.7,4950.7
11,1,1,-2148.525413,0,5011.166
11,1,1,-3453.269865,0,6105.603
12,1,1,2966.210345,6419.480211,8414.692
12,1,1,2899.003598,2586.593253,10549.544
12,1,1,2764.083809,2518.880211,8582.722
12,1,1,2764.083809,0,4347.077
12,1,1,110.283809,0,3122.532
12,1,1,110.283809,1887.62,1887.62
12,1,1,-971.740191,0,1082.024
12,1,1,-971.740191,720.0322381,720.0322381
