MAX_FLEX_DEMAND_DELAY,total_cost,total_generation,total_nse,average_rate
1,2272.4027102973746,2.7847914316948175e8,5048.330171792296,8.160046330343653e-6
2,2272.402710297374,2.781426139995922e8,5048.330171792314,8.16991930010662e-6
3,2272.4027102973746,2.7820291937253225e8,5048.330171792332,8.168148326489975e-6
4,2272.402710297376,2.769512665895222e8,5048.330171792296,8.205063433291216e-6
5,2272.4027102973787,2.78720298849214e8,5048.330171792307,8.15298605691699e-6
6,2272.4027102973773,2.7871125427604204e8,5048.330171792314,8.153250632809887e-6
7,2272.402710297379,2.785807126816945e8,5048.330171792314,8.15707120720098e-6
8,2272.402710297376,2.7866874853218263e8,5048.330171792305,8.154494259821685e-6
