Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
1,1,1,-3340.287363814108,0.0,1090.91221828
1,1,1,-2865.4574621141082,474.82990170000005,474.82990170000005
1,1,1,-3246.919191874108,0.0,381.46172976
1,1,1,-3246.919191874108,246.34411493999997,246.34411493999997
1,1,1,-3191.071911274108,55.847280600000005,55.847280600000005
1,1,1,-3364.599533449108,0.0,173.52762217499998
1,1,1,-3364.599533449108,352.6279708,352.6279708
1,1,1,-3364.599533449108,0.0,659.3709597750001
2,1,1,-3364.599533449108,1297.339129275,1297.339129275
2,1,1,-1012.7409303091085,2351.8586031399996,2351.8586031399996
2,1,1,-327.45362576910884,3339.08730454,3339.08730454
2,1,1,-2981.253625769109,0.0,4547.957900949999
2,1,1,2900.804196315891,5882.057822085,5882.057822085
2,1,1,247.00419631589102,0.0,6214.725190350001
2,1,1,-2406.795803684109,0.0,5723.48814875
2,1,1,-5060.595803684109,0.0,5458.15955874
3,1,1,877.7943630358914,5938.390166720001,5938.390166720001
3,1,1,-1776.0056369641088,0.0,5861.77417806
3,1,1,-4429.805636964109,0.0,8225.472324299999
3,1,1,1357.268311835898,5787.073948800007,7953.336847850001
3,1,1,-1296.5316881641022,0.0,6145.29713976
3,1,1,2845.302267175898,4141.83395534,4141.83395534
3,1,1,567.2837669495691,0.0,2768.7609525000003
3,1,1,567.2837669495691,0.0,1637.2054368000001
4,1,1,567.2837669495691,0.0,447.21630185500004
4,1,1,567.2837669495691,0.0,305.00376219000003
4,1,1,721.863918999569,154.58015204999998,154.58015204999998
4,1,1,899.384061609569,177.52014261000002,177.52014261000002
4,1,1,1039.854374189569,140.47031257999998,140.47031257999998
4,1,1,474.98173388456894,0.0,564.872640305
4,1,1,-1066.339202515431,0.0,1541.3209364
4,1,1,749.5547855124601,2906.4639045000004,2906.4639045000004
5,1,1,1763.9302414012836,3318.501620265,3318.501620265
5,1,1,-889.8697585987165,0.0,3210.9465993
5,1,1,-3177.1868170918497,0.0,3829.4502313499997
5,1,1,-5830.98681709185,0.0,4790.002454785
5,1,1,-7897.333758138959,0.0,5551.3237048500005
5,1,1,-4754.058014638959,5797.0757435,5797.0757435
5,1,1,-6397.024106000043,1010.8339086389174,6397.0259562
5,1,1,9.6916776388764,6406.715783638919,8423.93619595
6,1,1,-1354.238038722207,1289.8702836389168,11108.8042117
6,1,1,-3935.78052508329,72.25751363891732,13812.991746015
6,1,1,-5878.38521487618,0.0,10094.724009919999
6,1,1,-953.8172170661801,4924.56799781,4924.56799781
6,1,1,-2982.1328753985335,0.0,3497.0258947400002
6,1,1,-2982.1328753985335,0.0,2191.485696
6,1,1,-4008.279393870643,0.0,1147.28556736
6,1,1,-3261.8960908956433,746.383302975,746.383302975
7,1,1,-3261.8960908956433,0.0,506.70605736000005
7,1,1,-2938.5039314206433,323.392159475,323.392159475
7,1,1,-3102.775346845643,0.0,164.271415425
7,1,1,-3102.775346845643,188.6395922,188.6395922
7,1,1,-3102.775346845643,138.51005706,138.51005706
7,1,1,-3658.831837945643,0.0,556.0564911
7,1,1,-3658.831837945643,1498.7423853349999,1498.7423853349999
7,1,1,-3444.2819021506434,2868.349935795,2868.349935795
8,1,1,-6098.081902150643,0.0,3229.74104886
8,1,1,-5258.73320807697,3180.29860399,3180.29860399
8,1,1,-2914.3798663564294,3754.48145736,3754.48145736
8,1,1,-5568.17986635643,0.0,4654.39877617
8,1,1,-2868.477950916429,5353.501915440001,5353.501915440001
8,1,1,702.159796296464,5562.515163790001,5562.515163790001
8,1,1,-1951.6402037035361,0.0,5814.80005377
8,1,1,-1951.6402037035361,0.0,7623.62186294
9,1,1,7908.4822246564645,9860.12242836,9860.12242836
9,1,1,5254.682224656464,0.0,12457.21900015
9,1,1,2600.882224656464,0.0,9952.077416285
9,1,1,-52.91777534353605,0.0,4951.164464925
9,1,1,-1583.4223996629946,0.0,3533.69067346
9,1,1,-3718.5607494129945,0.0,2135.1383497499996
9,1,1,-3718.5607494129945,0.0,1157.50890008
9,1,1,-3718.5607494129945,788.0547356000001,788.0547356000001
10,1,1,-3252.1739483229944,466.38680109000006,466.38680109000006
10,1,1,-3252.1739483229944,307.715115625,307.715115625
10,1,1,-3252.1739483229944,147.79926804000002,147.79926804000002
10,1,1,-3252.1739483229944,176.10095762,176.10095762
10,1,1,-3252.1739483229944,131.07708805000001,131.07708805000001
10,1,1,-3252.1739483229944,534.9417383399999,534.9417383399999
10,1,1,-3252.1739483229944,1427.9431556399998,1427.9431556399998
10,1,1,-1774.196561525512,2773.1035190599996,2773.1035190599996
11,1,1,-1360.3506438255124,3067.6459176999997,3067.6459176999997
11,1,1,-4014.150643825513,0.0,2946.70215078
11,1,1,-3258.5941790255133,3409.3564647999997,3409.3564647999997
11,1,1,-5912.394179025514,0.0,4245.899521635
11,1,1,-1849.0825595749718,4804.6843691799995,4804.6843691799995
11,1,1,-3790.363196447081,0.0,4951.3454882
11,1,1,-6444.163196447082,0.0,5011.81937199
11,1,1,-6520.75126326654,0.0,6106.399068525
12,1,1,1895.03787059346,8415.78913386,8415.78913386
12,1,1,-758.7621294065402,0.0,10550.919482539999
12,1,1,5171.27891327346,8583.84104268,8583.84104268
12,1,1,2517.4789132734595,0.0,4347.6437863950005
12,1,1,1125.357143954001,0.0,3122.93912616
12,1,1,1125.357143954001,1887.86611422,1887.86611422
12,1,1,1125.357143954001,0.0,1082.1650779000001
12,1,1,406.45142287400097,0.0,718.90572108
13,1,1,127.22929527189217,0.0,464.16051087000005
13,1,1,127.22929527189217,312.465735,312.465735
13,1,1,127.22929527189217,147.88327896,147.88327896
13,1,1,127.22929527189217,175.84892478999998,175.84892478999998
13,1,1,127.22929527189217,130.81705415000002,130.81705415000002
13,1,1,127.22929527189217,530.760193145,530.760193145
13,1,1,127.22929527189217,1398.3703002199998,1398.3703002199998
13,1,1,188.5792587918918,2715.14996352,2715.14996352
14,1,1,1429.8157911324322,3035.40571444,3035.40571444
14,1,1,-15.197688817026119,0.0,2946.3441037400003
