Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,400,0,0,0
1,2,400,0,0,0
2,1,400,0,0,0
2,2,400,0,0,0
3,1,400,323.3461535,1360.559479,0.000209986
3,2,400,504.3301985,2780.079468,0.000429071
4,1,400,42.38352539,534.1776388,8.24E-05
4,2,400,66.10453112,833.7877649,0.000128685
,,,,,
,,,,5508.60435,
